,title,price,link
10,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Th...,"â‚¹36,990",https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj521ws-thin-light-laptop/p/itm454b1b37dbe89?pid=COMGNRNUKRMMXNZQ&lid=LSTCOMGNRNUKRMMXNZQPQADWR&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_108&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGNRNUKRMMXNZQ.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
11,MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,"â‚¹30,990",https://www.flipkart.com/msi-modern-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-b12mo-business-laptop/p/itm9d582749d003c?pid=COMHYWTJHENNCRGX&lid=LSTCOMHYWTJHENNCRGXEJC0WA&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_109&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMHYWTJHENNCRGX.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
12,Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Lig...,"â‚¹39,490",https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itm6f32e928cf1c7?pid=COMHFYZ3GXFZKYNN&lid=LSTCOMHFYZ3GXFZKYNNGHX9ZY&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_110&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMHFYZ3GXFZKYNN.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
13,Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,"â‚¹29,990",https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm65936d217ef8a?pid=COMGT82X9NYWSXQ7&lid=LSTCOMGT82X9NYWSXQ7FXFDP2&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&iid=c23c0939-39ae-45d9-abcf-d304476aa6d3.COMGT82X9NYWSXQ7.SEARCH&ssid=dp0ykx8l1s0000001729435763982&qH=146bdebb324a64d3
14,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"â‚¹29,990",https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm8ee8940f63aa8?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_111&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMH4B6CGTPNVJW9.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
15,ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 H...,"â‚¹50,990",https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_112&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMHY74JXH3KZRWM.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
16,MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,"â‚¹37,990",https://www.flipkart.com/msi-modern-14-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-c12m-439in-c12mo-1020in-thin-light-laptop/p/itmff17fb9ede836?pid=COMGMV6VGZVHZ6XT&lid=LSTCOMGMV6VGZVHZ6XTGMIBEW&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_113&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGMV6VGZVHZ6XT.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
17,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO Busines...,"â‚¹29,990",https://www.flipkart.com/msi-modern-14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-c12mo-business-laptop/p/itm06936b1a7cc1e?pid=COMHYWTJWVCVHFBH&lid=LSTCOMHYWTJWVCVHFBHBKC3MY&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_114&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMHYWTJWVCVHFBH.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
18,Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,"â‚¹35,490",https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm164ec8e5bbb35?pid=COMGYG23H3CRABUT&lid=LSTCOMGYG23H3CRABUTVU8ZQB&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGYG23H3CRABUT.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
19,MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,"â‚¹33,990",https://www.flipkart.com/msi-modern-14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-c7m-063in-thin-light-laptop/p/itma9abd86c9c099?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGMV6VHGPAGP55.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
